Station,Station code,Location,State or province,Route
Memphis Central,MEM,Memphis,TN,City of New Orleans
Mendota,MDT,Mendota,IL,"Illinois Zephyr and Carl Sandburg
  Southwest Chief"
Merced,MCD,Merced,CA,San Joaquins
Meriden,MDN,Meriden,CT,"Hartford Line
  Northeast Regional
  Valley Flyer
  Vermonter"
Meridian ,MEI,Meridian,MS,Crescent
Metropark,MET,Iselin,NJ,"Acela
  Keystone Service
  Northeast Regional
  Palmetto
  Vermonter"
Miami,MIA,Miami,FL,"Silver Meteor
  Silver Star"
Middletown,MID,Middletown,PA,Keystone Service
Milwaukee ,MKE,Milwaukee,WI,"Empire Builder
  Hiawatha Service"
Milwaukee Airport,MKA,Milwaukee,WI,Hiawatha Service
Mineola,MIN,Mineola,TX,Texas Eagle
Minot,MOT,Minot,ND,Empire Builder
Modesto,MOD,Modesto,CA,San Joaquins
Montgomery,MNG,Montgomery,WV,Cardinal
Montpelier,MPR,Montpelier,VT,Vermonter
Montreal,MTR,Montreal,QC,Adirondack
Moorpark,MPK,Moorpark,CA,Pacific Surfliner
Mount Joy,MJY,Mount Joy,PA,Keystone Service
Mount Pleasant,MTP,Mount Pleasant,IA,California Zephyr
Mount Vernon ,MVW,Mount Vernon,WA,Amtrak Cascades
Mystic,MYS,Mystic,CT,Northeast Regional
Naperville,NPV,Naperville,IL,"California Zephyr
  Illinois Zephyr and Carl Sandburg
  Southwest Chief"
Needles,NDL,Needles,CA,Southwest Chief
New Brunswick,NBK,New Brunswick,NJ,"Keystone Service
  Northeast Regional
  Palmetto"
New Buffalo,NBU,New Buffalo,MI,"Blue Water
  Wolverine"
New Carrollton,NCR,New Carrollton,MD,"Northeast Regional
  Palmetto
  Vermonter"
New Haven Union,NHV,New Haven,CT,"Acela
  Hartford Line
  Northeast Regional
  Valley Flyer
  Vermonter"
New Haven State Street,STS,New Haven,CT,"Hartford Line
  Northeast Regional
  Valley Flyer"
New Iberia,NIB,New Iberia,LA,Sunset Limited
New London ,NLC,New London,CT,"Acela
  Northeast Regional"
New Orleans,NOL,New Orleans,LA,"City of New Orleans
  Crescent
  Sunset Limited"
New Rochelle,NRO,New Rochelle,NY,Northeast Regional
New York Penn,NYP,New York,NY,"Acela
  Adirondack
  Cardinal
  Carolinian
  Crescent
  Empire Service
  Ethan Allen Express
  Keystone Service
  Lake Shore Limited
  Maple Leaf
  Northeast Regional
  Pennsylvanian
  Palmetto
  Silver Meteor
  Silver Star
  Vermonter"
New York State Fair,NYF,Syracuse,NY,"Empire Service
  Maple Leaf"
Newark,NRK,Newark,DE,Northeast Regional
Newark Liberty International Airport,EWR,Newark,NJ,"Keystone Service
  Northeast Regional"
Newark Penn,NWK,Newark,NJ,"Acela
  Cardinal
  Carolinian
  Crescent
  Keystone Service
  Northeast Regional
  Pennsylvanian
  Palmetto
  Silver Meteor
  Silver Star
  Vermonter"
Newbern–Dyersburg,NBN,Newbern,TN,City of New Orleans
Newport News ,NPN,Newport News,VA,Northeast Regional
Newton ,NEW,Newton,KS,Southwest Chief
Niagara Falls,NFL,Niagara Falls,NY,"Empire Service
  Maple Leaf"
Niagara Falls,NFS,Niagara Falls,ON,Maple Leaf
Niles,NLS,Niles,MI,"Blue Water
  Wolverine"
Norfolk ,NFK,Norfolk,VA,Northeast Regional
Norman,NOR,Norman,OK,Heartland Flyer
North Carolina State Fair,NSF,Raleigh,NC,Carolinian
Northampton,NHT,Northampton,MA,"Valley Flyer
  Vermonter"
Oakland Coliseum,OAC,Oakland,CA,Capitol Corridor
Oakland–Jack London Square ,OKJ,Oakland,CA,"Capitol Corridor
  Coast Starlight
  San Joaquins"
Oakville,OKL,Oakville,ON,Maple Leaf
Oceanside,OSD,Oceanside,CA,Pacific Surfliner
Okeechobee,OKE,Okeechobee,FL,Silver Star
Oklahoma City,OKC,Oklahoma City,OK,Heartland Flyer
Old Orchard Beach,ORB,Old Orchard Beach,ME,Downeaster
Old Saybrook,OSB,Old Saybrook,CT,Northeast Regional
Olympia–Lacey,OWL,Lacey,WA,"Amtrak Cascades
  Coast Starlight"
Omaha,OMA,Omaha,NE,California Zephyr
Ontario ,ONA,Ontario,CA,"Sunset Limited
  Texas Eagle"
Oregon City ,ORC,Oregon City,OR,Amtrak Cascades
Orlando ,ORL,Orlando,FL,"Silver Meteor
  Silver Star"
Osceola,OSC,Osceola,IA,California Zephyr
Ottumwa,OTM,Ottumwa,IA,California Zephyr
Oxnard ,OXN,Oxnard,CA,"Coast Starlight
  Pacific Surfliner"
Palatka,PAK,Palatka,FL,"Silver Meteor
  Silver Star"
Palm Springs,PSN,Palm Springs,CA,"Sunset Limited
  Texas Eagle"
Paoli,PAO,Paoli,PA,"Keystone Service
  Pennsylvanian"
Parkesburg,PAR,Parkesburg,PA,Keystone Service
Pasco ,PSC,Pasco,WA,Empire Builder
Paso Robles ,PRB,Paso Robles,CA,Coast Starlight
Petersburg,PTB,Petersburg,VA,"Carolinian
  Northeast Regional
  Palmetto
  Silver Meteor
  Silver Star"
Pauls Valley,PVL,Pauls Valley,OK,Heartland Flyer
Philadelphia 30th Street,PHL,Philadelphia,PA,"Acela
  Cardinal
  Carolinian
  Crescent
  Keystone Service
  Northeast Regional
  Palmetto
  Pennsylvanian
  Silver Meteor
  Silver Star
  Vermonter"
Philadelphia North,PHN,Philadelphia,PA,"Keystone Service
  Northeast Regional"
Picayune,PIC,Picayune,MS,Crescent
Pittsburgh ,PGH,Pittsburgh,PA,"Capitol Limited
  Pennsylvanian"
Pittsfield,PIT,Pittsfield,MA,Lake Shore Limited
Plano,PLO,Plano,IL,Illinois Zephyr and Carl Sandburg
Plattsburgh,PLB,Plattsburgh,NY,Adirondack
Pomona,POS,Pomona,CA,"Sunset Limited
  Texas Eagle"
Pontiac,PON,Pontiac,IL,"Lincoln Service
  Texas Eagle"
Pontiac,PNT,Pontiac,MI,Wolverine
Poplar Bluff,PBF,Poplar Bluff,MO,Texas Eagle
Port Henry,POH,Port Henry,NY,Adirondack
Port Huron,PTH,Port Huron,MI,Blue Water
Port Kent,PRK,Port Kent,NY,Adirondack
Portage,POG,Portage,WI,Empire Builder
Portland ,POR,Portland,ME,Downeaster
Portland ,PDX,Portland,OR,"Amtrak Cascades
  Coast Starlight
  Empire Builder"
Poughkeepsie,POU,Poughkeepsie,NY,"Adirondack
  Empire Service
  Ethan Allen Express
  Lake Shore Limited
  Maple Leaf"
Prince,PRC,Prince,WV,Cardinal
Princeton,PCT,Princeton,IL,"California Zephyr
  Illinois Zephyr and Carl Sandburg
  Southwest Chief"
Princeton Junction,PJC,West Windsor,NJ,"Keystone Service
  Northeast Regional
  Palmetto"
Providence,PVD,Providence,RI,"Acela
  Northeast Regional"
Provo,PRO,Provo,UT,California Zephyr
Purcell,PUR,Purcell,OK,Heartland Flyer
Quantico,QAN,Quantico,VA,"Carolinian
  Northeast Regional"
Quincy,QCY,Quincy,IL,Illinois Zephyr and Carl Sandburg
Raleigh Union,RGH,Raleigh,NC,"Carolinian
  Piedmont
  Silver Star"
Randolph,RPH,Randolph,VT,Vermonter
Rantoul,RTL,Rantoul,IL,Illini and Saluki
Raton,RAT,Raton,NM,Southwest Chief
Red Wing,RDW,Red Wing,MN,Empire Builder
Redding ,RDD,Redding,CA,Coast Starlight
Reno,RNO,Reno,NV,California Zephyr
Rensselaer,REN,Rensselaer,IN,Cardinal
Rhinecliff–Kingston,RHI,Rhinecliff,NY,"Adirondack
  Empire Service
  Ethan Allen Express
  Lake Shore Limited
  Maple Leaf"
Richmond,RIC,Richmond,CA,"California Zephyr
  Capitol Corridor
  San Joaquins"
Richmond Staples Mill Road ,RVR,Dumbarton,VA,"Carolinian
  Northeast Regional
  Palmetto
  Silver Meteor
  Silver Star"
Richmond Main Street ,RVM,Richmond,VA,Northeast Regional
Riverside,RIV,Riverside,CA,Southwest Chief
Roanoke ,RNK,Roanoke,VA,Northeast Regional
Rochester,ROC,Rochester,NY,"Empire Service
  Lake Shore Limited
  Maple Leaf"
Rocklin,RLN,Rocklin,CA,Capitol Corridor
Rocky Mount,RMT,Rocky Mount,NC,"Carolinian
  Palmetto
  Silver Meteor
  Silver Star"
Rockville,RKV,Rockville,MD,Capitol Limited
Rome,ROM,Rome,NY,"Empire Service
  Maple Leaf"
Roseville ,RSV,Roseville,CA,"California Zephyr
  Capitol Corridor"
Rouses Point,RSP,Rouses Point,NY,Adirondack
Royal Oak,ROY,Royal Oak,MI,Wolverine
Rugby,RUG,Rugby,ND,Empire Builder
Rutland,RUD,Rutland,VT,Ethan Allen Express
Saco–Biddeford,SAO,Saco,ME,Downeaster
Sacramento ,SAC,Sacramento,CA,"California Zephyr
  Capitol Corridor
  Coast Starlight
  San Joaquins"
Salem ,SLM,Salem,OR,"Amtrak Cascades
  Coast Starlight"
Salinas ,SNS,Salinas,CA,Coast Starlight
Salisbury,SAL,Salisbury,NC,"Carolinian
  Crescent
  Piedmont"
Salt Lake City,SLC,Salt Lake City,UT,California Zephyr
San Antonio,SAS,San Antonio,TX,"Sunset Limited
  Texas Eagle"
San Bernardino ,SNB,San Bernardino,CA,Southwest Chief
San Clemente Pier,SNP,San Clemente,CA,Pacific Surfliner
San Diego Old Town ,OLT,San Diego,CA,Pacific Surfliner
San Diego Santa Fe Depot ,SAN,San Diego,CA,Pacific Surfliner
San Jose Diridon ,SJC,San Jose,CA,"Capitol Corridor
  Coast Starlight"
San Juan Capistrano,SNC,San Juan Capistrano,CA,Pacific Surfliner
San Luis Obispo,SLO,San Luis Obispo,CA,"Coast Starlight
  Pacific Surfliner"
San Marcos,SMC,San Marcos,TX,Texas Eagle
Sanderson,SND,Sanderson,TX,"Sunset Limited
  Texas Eagle"
Sandpoint,SPT,Sandpoint,ID,Empire Builder
Sandusky,SKY,Sandusky,OH,"Capitol Limited
  Lake Shore Limited"
Sanford,SFA,Sanford,FL,Auto Train
Santa Ana ,SNA,Santa Ana,CA,Pacific Surfliner
Santa Barbara ,SBA,Santa Barbara,CA,"Coast Starlight
  Pacific Surfliner"
Santa Clara – Great America,GAC,Santa Clara,CA,Capitol Corridor
Santa Clara,SCC,Santa Clara,CA,Capitol Corridor
Saratoga Springs,SAR,Saratoga Springs,NY,"Adirondack
  Ethan Allen Express"
Savannah,SAV,Savannah,GA,"Palmetto
  Silver Meteor
  Silver Star"
Schenectady,SDY,Schenectady,NY,"Adirondack
  Empire Service
  Ethan Allen Express
  Lake Shore Limited
  Maple Leaf"
Schriever,SCH,Schriever,LA,Sunset Limited
Seattle King Street ,SEA,Seattle,WA,"Amtrak Cascades
  Coast Starlight
  Empire Builder"
Sebring,SBG,Sebring,FL,"Silver Meteor
  Silver Star"
Sedalia,SED,Sedalia,MO,Missouri River Runner
Selma,SSM,Selma,NC,"Carolinian
  Palmetto"
Shelby,SBY,Shelby,MT,Empire Builder
Simi Valley,SIM,Simi Valley,CA,"Coast Starlight
  Pacific Surfliner"
Slidell,SDL,Slidell,LA,Crescent
Solana Beach,SOL,Solana Beach,CA,Pacific Surfliner
South Bend,SOB,South Bend,IN,"Capitol Limited
  Lake Shore Limited"
South Portsmouth–South Shore,SPM,South Shore,KY,Cardinal
Southern Pines,SOP,Southern Pines,NC,Silver Star
Spartanburg,SPB,Spartanburg,SC,Crescent
Spokane,SPK,Spokane,WA,Empire Builder
Springfield,SPI,Springfield,IL,"Lincoln Service
  Texas Eagle"
Springfield,SPG,Springfield,MA,"Hartford Line
  Lake Shore Limited
  Northeast Regional
  Valley Flyer
  Vermonter"
St. Albans,SAB,St. Albans,VT,Vermonter
St. Catharines,SCA,St. Catherines,ON,Maple Leaf
St. Cloud,SCD,St. Cloud,MN,Empire Builder
St. Joseph–Benton Harbor,SJM,St. Joseph,MI,Pere Marquette
Saint-Lambert,SLQ,Saint-Lambert,QC,Adirondack
St. Louis Gateway ,STL,St. Louis,MO,"Lincoln Service
  Missouri River Runner
  Texas Eagle"
St. Paul - Minneapolis Union,MSP,St. Paul,MN,Empire Builder
Stamford,STM,Stamford,CT,"Acela
  Northeast Regional
  Vermonter"
Stanley,STN,Stanley,ND,Empire Builder
Stanwood,STW,Stanwood,WA,Amtrak Cascades
Staples,SPL,Staples,MN,Empire Builder
Staunton,STA,Staunton,VA,Cardinal
Stockton Downtown ,SKT,Stockton,CA,San Joaquins
Stockton San Joaquin Street,SKN,Stockton,CA,San Joaquins
Sturtevant,SVT,Sturtevant,WI,Hiawatha Service
Suisun–Fairfield,SUI,Suisun City,CA,Capitol Corridor
Summit,SMT,Summit,IL,Lincoln Service
Syracuse,SYR,Syracuse,NY,"Empire Service
  Lake Shore Limited
  Maple Leaf"
Tacoma Dome,TAC,Tacoma,WA,"Amtrak Cascades
  Coast Starlight"
Tampa,TPA,Tampa,FL,Silver Star
Taylor,TAY,Taylor,TX,Texas Eagle
Temple ,TPL,Temple,TX,Texas Eagle
Texarkana,TXA,Texarkana,AR,Texas Eagle
Thurmond,THN,Thurmond,WV,Cardinal
Ticonderoga,FTC,Ticonderoga,NY,Adirondack
Toccoa,TCA,Toccoa,GA,Crescent
Toledo,TOL,Toledo,OH,"Capitol Limited
  Lake Shore Limited"
Tomah,TOH,Tomah,WI,Empire Builder
Topeka,TOP,Topeka,KS,Southwest Chief
Toronto Union,TWO,Toronto,ON,Maple Leaf
Trenton,TRE,Trenton,NJ,"Acela
  Cardinal
  Carolinian
  Crescent
  Keystone Service
  Northeast Regional
  Palmetto
  Pennsylvanian
  Silver Meteor
  Silver Star
  Vermonter"
Trinidad,TRI,Trinidad,CO,Southwest Chief
Troy,TRM,Troy,MI,Wolverine
Truckee ,TRU,Truckee,CA,California Zephyr
Tucson,TUS,Tucson,AZ,"Sunset Limited
  Texas Eagle"
Tukwila,TUK,Tukwila,WA,Amtrak Cascades
Turlock–Denair,TRK,Denair,CA,San Joaquins
Tuscaloosa,TCL,Tuscaloosa,AL,Crescent
Tyrone ,TYR,Tyrone,PA,Pennsylvanian
Utica,UCA,Utica,NY,"Empire Service
  Lake Shore Limited
  Maple Leaf"
Van Nuys ,VNC,Van Nuys,CA,"Coast Starlight
  Pacific Surfliner"
Vancouver Pacific Central,VAC,Vancouver,BC,Amtrak Cascades
Vancouver,VAN,Vancouver,WA,"Amtrak Cascades
  Coast Starlight
  Empire Builder"
Ventura ,VEC,Ventura,CA,Pacific Surfliner
Victorville,VRV,Victorville,CA,Southwest Chief
Wallingford,WFD,Wallingford,CT,"Hartford Line
  Northeast Regional
  Valley Flyer"
Walnut Ridge,WNR,Walnut Ridge,AR,Texas Eagle
Warrensburg,WAR,Warrensburg,MO,Missouri River Runner
Wasco,WAC,Wasco,CA,San Joaquins
Washington Union ,WAS,Washington,DC,"Acela
  Capitol Limited
  Cardinal
  Carolinian
  Crescent
  Northeast Regional
  Palmetto
  Silver Meteor
  Silver Star
  Vermonter"
Washington,WAH,Washington,MO,Missouri River Runner
Waterbury–Stowe,WAB,Waterbury,VT,Vermonter
Waterloo,WTI,Waterloo,IN,"Capitol Limited
  Lake Shore Limited"
Wells,WEM,Wells,ME,Downeaster
Wenatchee ,WEN,Wenatchee,WA,Empire Builder
West Glacier,WGL,West Glacier,MT,Empire Builder
West Palm Beach,WPB,West Palm Beach,FL,"Silver Meteor
  Silver Star"
Westerly,WLY,Westerly,RI,Northeast Regional
Westport,WSP,Westport,NY,Adirondack
Westwood–Route 128,RTE,Westwood,MA,"Acela
  Northeast Regional"
White River Junction,WRJ,White River Junction,VT,Vermonter
White Sulphur Springs,WSS,White Sulfur Springs,WV,Cardinal
Whitefish,WFH,Whitefish,MT,Empire Builder
Whitehall,WHL,Whitehall,NY,Adirondack
Williamsburg,WBG,Williamsburg,VA,Northeast Regional
Williston,WTN,Williston,ND,Empire Builder
Wilmington,WIL,Wilmington,DE,"Acela
  Cardinal
  Carolinian
  Crescent
  Northeast Regional
  Palmetto
  Silver Meteor
  Silver Star
  Vermonter"
Wilson ,WLN,Wilson,NC,"Carolinian
  Palmetto"
Windsor,WND,Windsor,CT,"Hartford Line
  Northeast Regional
  Valley Flyer"
Windsor–Mt. Ascutney,WNM,Windsor,VT,Vermonter
Windsor Locks,WNL,Windsor Locks,CT,"Hartford Line
  Northeast Regional
  Valley Flyer
  Vermonter"
Winnemucca,WNN,Winnemucca,NV,California Zephyr
Winona ,WIN,Winona,MN,Empire Builder
Winslow,WLO,Winslow,AZ,Southwest Chief
Winter Haven,WTH,Winter Haven,FL,"Silver Meteor
  Silver Star"
Winter Park Resort,WPR,Winter Park,CO,Winter Park Express
Winter Park,WPK,Winter Park,FL,"Silver Meteor
  Silver Star"
Wisconsin Dells,WDL,Wisconsin Dells,WI,Empire Builder
Wishram,WIH,Wishram,WA,Empire Builder
Woburn–Anderson,WOB,Woburn,MA,Downeaster
Wolf Point,WPT,Wolf Point,MT,Empire Builder
Woodbridge,WDB,Woodbridge,VA,Northeast Regional
Worcester,WOR,Worcester,MA,Lake Shore Limited
Yazoo City,YAZ,Yazoo City,MS,City of New Orleans
Yemassee,YEM,Yemassee,SC,"Palmetto
  Silver Meteor"
Yonkers,YNY,Yonkers,NY,"Adirondack
  Empire Service
  Ethan Allen Express
  Maple Leaf"
Yuma,YUM,Yuma,AZ,"Sunset Limited
  Texas Eagle"